OCEAN Traits & GED,Ideal Job Clusters,Job Title,College,Program,Duration,Link,Description
High Conscientiousness + GED,"Administrative, Clerical",Office Assistant,Maricopa Community Colleges,Networking and Security,2 semesters (Fast Track),https://www.maricopa.edu/degrees-certificates/networking-security,"Focuses on network administration, cybersecurity, and IT infrastructure."
High Conscientiousness + GED,"Administrative, Clerical",Office Assistant,Pima Community College,Business Administration Certificate,1-2 semesters,https://www.pima.edu/academics-programs/degrees-certificates/business-it-hospitality/business/index.html,Covers business fundamentals for administrative and management roles.
High Conscientiousness + GED,"Administrative, Clerical",Scheduling Coordinator,Maricopa Community Colleges,Networking and Security,2 semesters (Fast Track),https://www.maricopa.edu/degrees-certificates/networking-security,"Focuses on network administration, cybersecurity, and IT infrastructure."
High Conscientiousness + GED,"Administrative, Clerical",Scheduling Coordinator,Pima Community College,Business Administration Certificate,1-2 semesters,https://www.pima.edu/academics-programs/degrees-certificates/business-it-hospitality/business/index.html,Covers business fundamentals for administrative and management roles.
High Openness + GED,Creative & Media,Social Media Helper,Central Arizona College,Business Certificate,1-2 semesters,https://catalog.centralaz.edu/programs/business-certificate,"Offers foundational business knowledge in management, marketing, and accounting for entry-level business roles."
High Agreeableness + GED,Social/Support Roles,Peer Mentor,Rio Salado College,Information Technology: Desktop Support (CCL),18-19 credits (~1 semester),https://www.riosalado.edu/degrees-certificates/computer-and-information-technology/desktop-support-5043-ccl,https://www.riosalado.edu/degrees-certificates
High Agreeableness + GED,Social/Support Roles,Peer Mentor,Rio Salado College,Computer System Configuration and Support: Network (CCL),18-19 credits (~1 semester),https://www.riosalado.edu/degrees-certificates/computer-and-information-technology/computer-system-configuration-and-support-network-5044n-ccl,https://www.riosalado.edu/degrees-certificates/computer-and-information-technology/computer-system-configuration-and-support-5038n-ccl
High Agreeableness + GED,Social/Support Roles,Peer Mentor,Maricopa Community Colleges / NAMI,"Peer Support Specialist Training (NAMI, Maricopa)",55 hours (multiple weeks),https://www.namisa.org/educational-programs/,Trains individuals with lived experience to support others in recovery as certified peer supporters.
High Agreeableness + GED,Social/Support Roles,Peer Mentor,Rio Salado College,"Addictions and Substance Use Disorders (CCL, Level I/II)",18-34 credits (1-2 semesters),https://www.riosalado.edu/degrees-certificates/behavioral-science-and-human-services/addictions-and-substance-use-disorders-3302-aas,"Prepares students for careers as substance abuse counselors, focusing on addiction theory, counseling, and treatment."
High Agreeableness + GED,Social/Support Roles,Peer Mentor,Rio Salado College,Workforce Development Certificate (Case Manager / Reentry Support),6 classes (~1 semester),https://www.riosalado.edu/web/pdf/d9/6596-ire-certificates-and-degree-9-4-2019.pdf,"Provides job readiness, social skills, and reentry support training for justice-involved individuals."
High Agreeableness + GED,Social/Support Roles,Peer Mentor,Pima Community College,IT Support Specialist Certificate,1-2 semesters,https://pima.edu/academics-programs/degrees-certificates/business-it-hospitality/computer-info-systems/it-specialist-cert/index.html,"Trains students in computer support, troubleshooting, and network basics."
High Agreeableness + GED,Social/Support Roles,Peer Mentor,Pima Community College / NAMI,"Peer Support Specialist Training (NAMI, Pima)",55 hours (multiple weeks),https://www.namisa.org/educational-programs/,Prepares individuals with lived experience to assist others in behavioral health recovery.
High Agreeableness + GED,Social/Support Roles,Peer Mentor,Pima Community College,"Addictions and Substance Use Disorders (AAS/CCL, Pima)",1-2 years,https://www.pima.edu/academics-programs/degrees-certificates/health-sciences/behavioral-health/index.html,"Trains students for substance abuse counseling careers, including theory, practice, and ethics."
High Agreeableness + GED,Social/Support Roles,Peer Mentor,Pima Community College,Human Services Certificate (Case Manager / Reentry Support),1-2 semesters,https://www.pima.edu/academics-programs/degrees-certificates/health-sciences/behavioral-health/index.html,Offers foundational training for case management and reentry support roles.
High Agreeableness + GED,Social/Support Roles,Peer Mentor,Central Arizona College,Computer Systems Networking,1-2 semesters,https://catalog.centralaz.edu/programs/computer-systems-networking-certificate,"Prepares students for network support roles, covering installation, configuration, and troubleshooting."
High Agreeableness + GED,Social/Support Roles,Teacher’s Aide,Rio Salado College / Maricopa Community Colleges,Educational Construction Trades Partnership: Electrical (CCL),16-18 credits (~1 semester),https://www.riosalado.edu/degrees-certificates/applied-technology/educational-construction-trades-partnership-electrical-5233n-ccl,"Prepares students for entry-level employment in the electrical trade, focusing on safety, wiring, and installation skills."
High Agreeableness + GED,Social/Support Roles,Teacher’s Aide,Rio Salado College / Maricopa Community Colleges,Educational Construction Trades Partnership: HVACR Residential Service (CCL),16-20 credits (~1 semester),https://www.riosalado.edu/degrees-certificates/applied-technology/educational-construction-trades-partnership-hvacr-residential-service-5351n-ccl,"Provides training in residential heating, ventilation, air conditioning, and refrigeration systems for entry-level careers."
High Agreeableness + GED,Social/Support Roles,Teacher’s Aide,Rio Salado College,Substance Use Prevention and Interventions (CCL),18-19 credits (~1 semester),https://www.riosalado.edu/degrees-certificates/behavioral-science-and-human-services/substance-use-prevention-and-interventions-5221-ccl,"Focuses on substance use prevention, intervention, and community education."
High Agreeableness + GED,Social/Support Roles,Nonprofit Program Assistant,Rio Salado College,Substance Use Prevention and Interventions (CCL),18-19 credits (~1 semester),https://www.riosalado.edu/degrees-certificates/behavioral-science-and-human-services/substance-use-prevention-and-interventions-5221-ccl,"Focuses on substance use prevention, intervention, and community education."
High Extraversion + GED,Customer-Facing Roles,Customer Service Rep,Rio Salado College / Maricopa Community Colleges,Educational Construction Trades Partnership: HVACR Residential Service (CCL),16-20 credits (~1 semester),https://www.riosalado.edu/degrees-certificates/applied-technology/educational-construction-trades-partnership-hvacr-residential-service-5351n-ccl,"Provides training in residential heating, ventilation, air conditioning, and refrigeration systems for entry-level careers."
High Extraversion + GED,Customer-Facing Roles,Customer Service Rep,Rio Salado College,Sustainable Food Systems: Food Service (CCL),18-19 credits (~1 semester),https://www.riosalado.edu/degrees-certificates/health-sciences/sustainable-food-systems-food-service-5270n-ccl,Prepares students for food service roles with a focus on sustainability.
